[2022-12-21 09:13:18.881 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - -
[2022-12-21 09:13:18.881 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:18.881 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - - - 404 0 - 0.6306ms
[2022-12-21 09:13:19.997 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll - -
[2022-12-21 09:13:19.997 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:19.997 +05:30  INF]  Executing endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:19.997 +05:30  INF]  Route matched with {action = "GetAll", controller = "Employee"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetAll() on controller Database.Controllers.EmployeeController (Employee).
[2022-12-21 09:13:20.043 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll - -
[2022-12-21 09:13:20.043 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:20.043 +05:30  INF]  Executing endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:20.043 +05:30  INF]  Route matched with {action = "GetAll", controller = "Employee"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetAll() on controller Database.Controllers.EmployeeController (Employee).
[2022-12-21 09:13:20.089 +05:30  INF]  Executing JsonResult, writing value of type 'System.Collections.Generic.List`1[[Database.Models.Employee, Database, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
[2022-12-21 09:13:20.089 +05:30  INF]  Executed action Database.Controllers.EmployeeController.GetAll (Employee) in 46.5338ms
[2022-12-21 09:13:20.090 +05:30  INF]  Executed endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:20.090 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll - - - 200 - application/json;+charset=utf-8 47.0263ms
[2022-12-21 09:13:20.092 +05:30  INF]  Executing JsonResult, writing value of type 'System.Collections.Generic.List`1[[Database.Models.Employee, Database, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
[2022-12-21 09:13:20.092 +05:30  INF]  Executed action Database.Controllers.EmployeeController.GetAll (Employee) in 95.1198ms
[2022-12-21 09:13:20.092 +05:30  INF]  Executed endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:20.093 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll - - - 200 - application/json;+charset=utf-8 95.5381ms
[2022-12-21 09:13:20.099 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - -
[2022-12-21 09:13:20.100 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:20.100 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - - - 404 0 - 1.0705ms
[2022-12-21 09:13:20.100 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - -
[2022-12-21 09:13:20.100 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:20.101 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - - - 404 0 - 0.1617ms
[2022-12-21 09:13:22.690 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll - -
[2022-12-21 09:13:22.690 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:22.690 +05:30  INF]  Executing endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
